Method      M     tc    tol max_iter  tf comp_time
 euler     11  0.010 0.001000   1000  2.710 23.743
 euler     11  0.010 0.001000   2000  2.710 24.742
 euler     11  0.010 0.000100   1000  2.710 27.300
 euler     11  0.010 0.000100   2000  2.710 26.239
 euler     11  0.050 0.001000   1000  4.050 14.570
 euler     11  0.050 0.001000   2000  4.050 14.399
 euler     11  0.050 0.000100   1000  2.800  8.471
 euler     11  0.050 0.000100   2000  2.800  8.502
 euler     11  0.050 0.000010   1000  2.700  7.847
 euler     11  0.050 0.000010   2000  2.700  8.252
 euler     11  0.100 0.001000   1000  2.700  5.335
 euler     11  0.100 0.001000   2000  2.700  5.522
 euler     11  0.100 0.000010   1000  3.300 13.588
 euler     11  0.100 0.000010   2000  3.300 13.478
 euler     11  0.100 0.000001   1000  3.100  6.739
 euler     11  0.100 0.000001   2000  3.100  7.301
 euler     21  0.010 0.001000   1000  2.400 26.567
 euler     21  0.010 0.001000   2000  2.400 27.051
 euler     21  0.050 0.001000   1000  2.400  7.348
 euler     21  0.050 0.001000   2000  2.400  7.628
 euler     21  0.050 0.000100   1000  2.400  8.393
 euler     21  0.050 0.000100   2000  2.400  8.174
 euler     21  0.050 0.000010   1000  2.400 10.015
 euler     21  0.050 0.000010   2000  2.400 10.218
 euler     21  0.050 0.000001   1000  2.400 11.887
 euler     21  0.050 0.000001   2000  2.400 11.872
 euler     21  0.100 0.000100   1000  4.200 15.101
 euler     21  0.100 0.000100   2000  4.200 14.929
 euler     21  0.100 0.000010   1000  2.500  7.566
 euler     21  0.100 0.000010   2000  2.500  7.566
 euler     21  0.100 0.000001   1000  3.200 11.497
 euler     21  0.100 0.000001   2000  3.200 11.653
 euler     31  0.050 0.001000   1000  2.350  8.252
 euler     31  0.050 0.001000   2000  2.350  8.408
 euler     31  0.050 0.000100   1000  2.400 10.327
 euler     31  0.050 0.000100   2000  2.400 10.530
 euler     31  0.050 0.000010   1000  2.350 14.134
 euler     31  0.050 0.000010   2000  2.350 14.446
 euler     31  0.050 0.000001   1000  2.550 25.756
 euler     31  0.050 0.000001   2000  2.550 22.651
 euler     31  0.100 0.001000   1000  3.700 11.887
 euler     31  0.100 0.001000   2000  3.700 11.809
 euler     31  0.100 0.000100   1000  3.400 18.564
 euler     31  0.100 0.000100   2000  3.400 18.939
 euler     31  0.100 0.000010   1000  3.200 12.979
 euler     31  0.100 0.000010   2000  3.200 12.745
 euler     31  0.100 0.000001   1000  3.100 21.107
 euler     31  0.100 0.000001   2000  3.100 20.889
 euler     41  0.050 0.001000   1000  2.400 10.780
 euler     41  0.050 0.001000   2000  2.400 10.873
