Method      M     tc    tol max_iter RMS comp_time
 euler     11  0.010 0.001000    500 97.296  7.519
 euler     11  0.010 0.001000   1000 97.296  7.628
 euler     11  0.010 0.001000   1500 97.296  7.379
 euler     11  0.010 0.001000   2000 97.296  7.769
 euler     11  0.010 0.000100    500 98.368 19.032
 euler     11  0.010 0.000100   1000 98.368 18.876
 euler     11  0.010 0.000100   1500 98.368 19.141
 euler     11  0.010 0.000100   2000 98.368 19.017
 euler     11  0.010 0.000010    500 98.253 65.115
 euler     11  0.010 0.000010   1000 98.253 64.662
 euler     11  0.010 0.000010   1500 98.253 65.146
 euler     11  0.010 0.000010   2000 98.253 65.130
 euler     11  0.010 0.000001    500 98.110 187.435
 euler     11  0.010 0.000001   1000 98.145 195.126
 euler     11  0.010 0.000001   1500 98.145 195.048
 euler     11  0.010 0.000001   2000 98.145 195.344
 euler     11  0.050 0.001000    500 46.695  2.683
 euler     11  0.050 0.001000   1000 46.695  2.699
 euler     11  0.050 0.001000   1500 46.695  2.605
 euler     11  0.050 0.001000   2000 46.695  2.621
 euler     11  0.050 0.000100    500 46.817  8.861
 euler     11  0.050 0.000100   1000 46.817  8.752
 euler     11  0.050 0.000100   1500 46.817  8.752
 euler     11  0.050 0.000100   2000 46.817  8.705
 euler     11  0.050 0.000010    500 46.577 24.523
 euler     11  0.050 0.000010   1000 46.577 24.196
 euler     11  0.050 0.000010   1500 46.577 24.196
 euler     11  0.050 0.000010   2000 46.577 24.399
 euler     11  0.050 0.000001    500 46.420 65.988
 euler     11  0.050 0.000001   1000 46.803 63.087
 euler     11  0.050 0.000001   1500 46.803 62.993
 euler     11  0.050 0.000001   2000 46.803 62.853
 euler     21  0.005 0.001000    500 64.515 19.641
 euler     21  0.005 0.001000   1000 64.515 19.266
 euler     21  0.005 0.001000   1500 64.515 19.703
 euler     21  0.005 0.001000   2000 64.515 19.219
 euler     21  0.005 0.000100    500 65.142 81.745
 euler     21  0.005 0.000100   1000 65.142 81.854
 euler     21  0.005 0.000100   1500 65.142 81.979
 euler     21  0.005 0.000100   2000 65.142 81.589
