Elevation (deg) - Measured	
0	-27.5
0.005	-27.5
0.01	-27.5
0.015	-27.5
0.02	-27.5
0.025	-27.5
0.03	-27.5
0.035	-27.5
0.04	-27.5
0.045	-27.5
0.05	-27.5
0.055	-27.5
0.06	-27.5
0.065	-27.5
0.07	-27.5
0.075	-27.5
0.08	-27.5
0.085	-27.5
0.09	-27.5
0.095	-27.5
0.1	-27.5
0.105	-27.5
0.11	-27.5
0.115	-27.5
0.12	-27.5
0.125	-27.5
0.13	-27.5
0.135	-27.4121
0.14	-27.4121
0.145	-27.4121
0.15	-27.4121
0.155	-27.3242
0.16	-27.3242
0.165	-27.3242
0.17	-27.3242
0.175	-27.2363
0.18	-27.2363
0.185	-27.2363
0.19	-27.1484
0.195	-27.1484
0.2	-27.1484
0.205	-27.0605
0.21	-26.9727
0.215	-26.9727
0.22	-26.8848
0.225	-26.8848
0.23	-26.7969
0.235	-26.709
0.24	-26.709
0.245	-26.6211
0.25	-26.5332
0.255	-26.5332
0.26	-26.3574
0.265	-26.3574
0.27	-26.2695
0.275	-26.1816
0.28	-26.0937
0.285	-25.918
0.29	-25.918
0.295	-25.8301
0.3	-25.5664
0.305	-25.5664
0.31	-25.3906
0.315	-25.3027
0.32	-25.2148
0.325	-25.127
0.33	-24.8633
0.335	-24.7754
0.34	-24.6875
0.345	-24.5117
0.35	-24.3359
0.355	-24.3359
0.36	-23.9844
0.365	-23.8086
0.37	-23.7207
0.375	-23.2812
0.38	-23.1934
0.385	-22.8418
0.39	-22.5781
0.395	-22.4023
0.4	-22.2266
0.405	-22.1387
0.41	-21.875
0.415	-21.7871
0.42	-21.5234
0.425	-21.4355
0.43	-21.3477
0.435	-21.084
0.44	-20.9961
0.445	-20.7324
0.45	-20.6445
0.455	-20.4687
0.46	-20.293
0.465	-20.2051
0.47	-20.0293
0.475	-19.9414
0.48	-19.8535
0.485	-19.6777
0.49	-19.3262
0.495	-19.2383
0.5	-19.1504
0.505	-18.9746
0.51	-18.8867
0.515	-18.7988
0.52	-18.5352
0.525	-18.4473
0.53	-18.3594
0.535	-18.0078
0.54	-17.832
0.545	-17.6563
0.55	-17.5684
0.555	-17.3926
0.56	-17.2168
0.565	-17.041
0.57	-16.9531
0.575	-16.8652
0.58	-16.6895
0.585	-16.6016
0.59	-16.3379
0.595	-16.25
0.6	-16.1621
0.605	-15.8984
0.61	-15.8105
0.615	-15.7227
0.62	-15.3711
0.625	-15.2832
0.63	-15.1953
0.635	-14.9316
0.64	-14.8437
0.645	-14.5801
0.65	-14.4922
0.655	-14.4043
0.66	-14.2285
0.665	-14.1406
0.67	-14.0527
0.675	-13.7891
0.68	-13.7012
0.685	-13.5254
0.69	-13.4375
0.695	-13.3496
0.7	-13.1738
0.705	-13.0859
0.71	-12.998
0.715	-12.8223
0.72	-12.7344
0.725	-12.6465
0.73	-12.4707
0.735	-12.3828
0.74	-12.2949
0.745	-12.1191
0.75	-12.0313
0.755	-12.0313
0.76	-11.7676
0.765	-11.6797
0.77	-11.6797
0.775	-11.5039
0.78	-11.416
0.785	-11.3281
0.79	-11.1523
0.795	-11.0645
0.8	-10.9766
0.805	-10.8008
0.81	-10.7129
0.815	-10.625
0.82	-10.5371
0.825	-10.4492
0.83	-10.2734
0.835	-10.2734
0.84	-10.1855
0.845	-10.0098
0.85	-9.92188
0.855	-9.92188
