time (s) - Measured	Pitch (deg) - Measured
0	0
0.005	0
0.01	0
0.015	-0.0878906
0.02	-0.0878906
0.025	-0.175781
0.03	-0.175781
0.035	-0.175781
0.04	-0.263672
0.045	-0.263672
0.05	-0.351562
0.055	-0.351562
0.06	-0.351562
0.065	-0.439453
0.07	-0.439453
0.075	-0.439453
0.08	-0.527344
0.085	-0.527344
0.09	-0.527344
0.095	-0.615234
0.1	-0.615234
0.105	-0.615234
0.11	-0.703125
0.115	-0.703125
0.12	-0.791016
0.125	-0.878906
0.13	-0.878906
0.135	-1.05469
0.14	-1.05469
0.145	-1.14258
0.15	-1.14258
0.155	-1.23047
0.16	-1.31836
0.165	-1.31836
0.17	-1.31836
0.175	-1.40625
0.18	-1.49414
0.185	-1.49414
0.19	-1.58203
0.195	-1.58203
0.2	-1.75781
0.205	-1.75781
0.21	-1.8457
0.215	-2.02148
0.22	-2.10938
0.225	-2.10938
0.23	-2.19727
0.235	-2.28516
0.24	-2.37305
0.245	-2.46094
0.25	-2.54883
0.255	-2.54883
0.26	-2.63672
0.265	-2.72461
0.27	-2.90039
0.275	-2.98828
0.28	-3.07617
0.285	-3.16406
0.29	-3.16406
0.295	-3.33984
0.3	-3.42773
0.305	-3.42773
0.31	-3.51563
0.315	-3.60352
0.32	-3.69141
0.325	-3.7793
0.33	-3.7793
0.335	-3.86719
0.34	-3.95508
0.345	-4.04297
0.35	-4.13086
0.355	-4.13086
0.36	-4.21875
0.365	-4.21875
0.37	-4.30664
0.375	-4.30664
0.38	-4.39453
0.385	-4.39453
0.39	-4.48242
0.395	-4.48242
0.4	-4.48242
0.405	-4.57031
0.41	-4.57031
0.415	-4.57031
0.42	-4.57031
0.425	-4.57031
0.43	-4.6582
0.435	-4.57031
0.44	-4.6582
0.445	-4.6582
0.45	-4.6582
0.455	-4.57031
0.46	-4.6582
0.465	-4.57031
0.47	-4.57031
0.475	-4.6582
0.48	-4.57031
0.485	-4.57031
0.49	-4.57031
0.495	-4.57031
0.5	-4.57031
0.505	-4.48242
0.51	-4.48242
0.515	-4.48242
0.52	-4.48242
0.525	-4.48242
0.53	-4.48242
0.535	-4.39453
0.54	-4.39453
0.545	-4.48242
0.55	-4.39453
0.555	-4.39453
0.56	-4.48242
0.565	-4.48242
0.57	-4.39453
0.575	-4.39453
0.58	-4.39453
0.585	-4.30664
0.59	-4.30664
0.595	-4.30664
0.6	-4.30664
0.605	-4.30664
0.61	-4.30664
0.615	-4.30664
0.62	-4.30664
0.625	-4.30664
0.63	-4.30664
0.635	-4.30664
0.64	-4.30664
0.645	-4.30664
0.65	-4.30664
0.655	-4.30664
0.66	-4.30664
0.665	-4.30664
0.67	-4.30664
0.675	-4.39453
0.68	-4.39453
0.685	-4.39453
0.69	-4.39453
0.695	-4.48242
0.7	-4.48242
0.705	-4.48242
0.71	-4.48242
0.715	-4.48242
0.72	-4.48242
0.725	-4.48242
0.73	-4.48242
0.735	-4.48242
0.74	-4.57031
0.745	-4.6582
0.75	-4.6582
0.755	-4.6582
0.76	-4.6582
0.765	-4.74609
0.77	-4.74609
0.775	-4.74609
0.78	-4.83398
0.785	-4.83398
0.79	-4.92188
0.795	-4.92188
0.8	-4.92188
0.805	-5.00977
0.81	-5.09766
0.815	-5.09766
0.82	-5.18555
0.825	-5.27344
0.83	-5.27344
0.835	-5.36133
0.84	-5.36133
0.845	-5.36133
0.85	-5.44922
0.855	-5.44922
0.86	-5.44922
0.865	-5.53711
0.87	-5.625
0.875	-5.625
0.88	-5.625
0.885	-5.71289
0.89	-5.80078
0.895	-5.88867
0.9	-5.88867
0.905	-5.97656
0.91	-6.06445
0.915	-6.06445
0.92	-6.06445
0.925	-6.15234
0.93	-6.15234
0.935	-6.24023
0.94	-6.32812
0.945	-6.32812
0.95	-6.41602
0.955	-6.50391
0.96	-6.5918
0.965	-6.5918
0.97	-6.76758
0.975	-6.76758
0.98	-6.85547
0.985	-6.94336
0.99	-6.94336
0.995	-7.03125
1	-7.11914
1.005	-7.11914
1.01	-7.20703
1.015	-7.29492
1.02	-7.29492
1.025	-7.38281
1.03	-7.4707
1.035	-7.64648
1.04	-7.73437
1.045	-7.82227
1.05	-7.91016
1.055	-7.99805
1.06	-7.99805
1.065	-8.08594
1.07	-8.17383
1.075	-8.17383
1.08	-8.17383
1.085	-8.34961
1.09	-8.4375
1.095	-8.4375
1.1	-8.52539
1.105	-8.52539
1.11	-8.61328
1.115	-8.70117
1.12	-8.70117
1.125	-8.78906
1.13	-8.87695
1.135	-8.87695
1.14	-8.87695
1.145	-8.87695
1.15	-8.96484
1.155	-8.96484
1.16	-9.05273
1.165	-9.05273
1.17	-9.14063
1.175	-9.14063
1.18	-9.22852
1.185	-9.22852
1.19	-9.31641
1.195	-9.31641
1.2	-9.4043
1.205	-9.4043
1.21	-9.4043
1.215	-9.4043
1.22	-9.49219
1.225	-9.49219
1.23	-9.4043
1.235	-9.49219
1.24	-9.49219
1.245	-9.49219
1.25	-9.49219
1.255	-9.58008
1.26	-9.58008
1.265	-9.58008
1.27	-9.58008
1.275	-9.58008
1.28	-9.58008
1.285	-9.58008
1.29	-9.58008
1.295	-9.58008
1.3	-9.58008
1.305	-9.49219
1.31	-9.49219
1.315	-9.49219
1.32	-9.4043
1.325	-9.4043
1.33	-9.31641
1.335	-9.31641
1.34	-9.14063
1.345	-9.14063
