time (s) - Measured	Pitch (deg) - Measured
0	0
0.005	0
0.01	-0.0878906
0.015	-0.0878906
0.02	0
0.025	0.0878906
0.03	0.0878906
0.035	0.0878906
0.04	0.175781
0.045	0.175781
0.05	0.175781
0.055	0.263672
0.06	0.175781
0.065	0.175781
0.07	0.263672
0.075	0.175781
0.08	0.175781
0.085	0.175781
0.09	0.175781
0.095	0.175781
0.1	0.175781
0.105	0.175781
0.11	0.175781
0.115	0.175781
0.12	0.175781
0.125	0.175781
0.13	0.175781
0.135	0.175781
0.14	0.175781
0.145	0.175781
0.15	0.175781
0.155	0.175781
0.16	0.0878906
0.165	0.0878906
0.17	0.0878906
0.175	0.0878906
0.18	0.0878906
0.185	0.0878906
0.19	0.0878906
0.195	0.0878906
0.2	0.0878906
0.205	0.0878906
0.21	0.0878906
0.215	0.0878906
0.22	0
0.225	0
0.23	0
0.235	0
0.24	0
0.245	-0.0878906
0.25	-0.0878906
0.255	-0.0878906
0.26	-0.0878906
0.265	-0.175781
0.27	-0.175781
0.275	-0.175781
0.28	-0.175781
0.285	-0.175781
0.29	-0.175781
0.295	-0.175781
0.3	-0.263672
0.305	-0.263672
0.31	-0.263672
0.315	-0.263672
0.32	-0.263672
0.325	-0.351562
0.33	-0.263672
0.335	-0.351562
0.34	-0.351562
0.345	-0.351562
0.35	-0.351562
0.355	-0.351562
0.36	-0.351562
0.365	-0.263672
0.37	-0.263672
0.375	-0.263672
0.38	-0.263672
0.385	-0.263672
0.39	-0.175781
0.395	-0.175781
0.4	-0.175781
0.405	-0.175781
0.41	-0.0878906
0.415	-0.0878906
0.42	-0.0878906
0.425	-0.0878906
0.43	0
0.435	0
0.44	0.0878906
0.445	0.0878906
0.45	0.175781
0.455	0.263672
0.46	0.263672
0.465	0.351562
0.47	0.439453
0.475	0.527344
0.48	0.527344
0.485	0.615234
0.49	0.615234
0.495	0.703125
0.5	0.703125
0.505	0.791016
0.51	0.878906
0.515	1.05469
0.52	1.05469
0.525	1.23047
0.53	1.23047
0.535	1.31836
0.54	1.49414
0.545	1.49414
0.55	1.58203
0.555	1.66992
0.56	1.75781
0.565	1.93359
0.57	1.93359
0.575	2.02148
0.58	2.10938
0.585	2.28516
0.59	2.37305
0.595	2.46094
0.6	2.63672
0.605	2.72461
0.61	2.72461
0.615	2.8125
0.62	2.90039
0.625	3.07617
0.63	3.16406
0.635	3.25195
0.64	3.33984
0.645	3.51563
0.65	3.51563
0.655	3.51563
0.66	3.69141
0.665	3.69141
0.67	3.7793
0.675	3.7793
0.68	3.86719
0.685	3.86719
0.69	3.86719
0.695	3.95508
0.7	4.04297
0.705	4.04297
0.71	4.13086
0.715	4.21875
0.72	4.21875
0.725	4.30664
0.73	4.48242
0.735	4.48242
0.74	4.48242
0.745	4.57031
0.75	4.57031
0.755	4.57031
0.76	4.6582
0.765	4.6582
0.77	4.6582
0.775	4.6582
0.78	4.6582
0.785	4.74609
0.79	4.74609
0.795	4.74609
0.8	4.83398
0.805	4.92188
0.81	4.92188
0.815	4.92188
0.82	5.09766
0.825	5.09766
0.83	5.09766
0.835	5.09766
0.84	5.18555
0.845	5.18555
0.85	5.18555
0.855	5.18555
0.86	5.18555
0.865	5.18555
0.87	5.18555
0.875	5.18555
0.88	5.27344
0.885	5.27344
0.89	5.36133
0.895	5.36133
0.9	5.44922
0.905	5.44922
0.91	5.44922
0.915	5.44922
0.92	5.53711
0.925	5.53711
0.93	5.44922
0.935	5.44922
0.94	5.44922
0.945	5.44922
0.95	5.44922
0.955	5.44922
0.96	5.44922
0.965	5.44922
0.97	5.44922
0.975	5.44922
0.98	5.53711
0.985	5.625
0.99	5.625
0.995	5.625
1	5.625
1.005	5.625
1.01	5.625
1.015	5.53711
1.02	5.53711
1.025	5.53711
1.03	5.44922
1.035	5.44922
1.04	5.44922
1.045	5.44922
1.05	5.44922
1.055	5.44922
1.06	5.44922
1.065	5.44922
1.07	5.44922
1.075	5.53711
1.08	5.44922
1.085	5.44922
1.09	5.44922
1.095	5.36133
1.1	5.36133
1.105	5.27344
1.11	5.27344
1.115	5.27344
1.12	5.18555
1.125	5.18555
1.13	5.18555
1.135	5.18555
1.14	5.18555
1.145	5.18555
1.15	5.09766
1.155	5.09766
1.16	5.00977
1.165	4.92188
1.17	4.92188
1.175	4.92188
1.18	4.92188
1.185	4.83398
1.19	4.83398
1.195	4.83398
1.2	4.74609
1.205	4.74609
1.21	4.74609
1.215	4.74609
1.22	4.74609
1.225	4.6582
1.23	4.57031
1.235	4.48242
1.24	4.39453
1.245	4.30664
1.25	4.30664
1.255	4.21875
1.26	4.21875
1.265	4.21875
1.27	4.13086
1.275	4.13086
1.28	4.13086
1.285	4.13086
1.29	4.04297
1.295	4.04297
1.3	3.95508
1.305	3.95508
1.31	3.86719
1.315	3.86719
1.32	3.7793
1.325	3.7793
1.33	3.69141
1.335	3.69141
1.34	3.60352
1.345	3.60352
1.35	3.60352
1.355	3.60352
1.36	3.51563
1.365	3.51563
1.37	3.51563
1.375	3.42773
1.38	3.42773
1.385	3.42773
1.39	3.42773
1.395	3.42773
1.4	3.42773
1.405	3.42773
1.41	3.51563
1.415	3.51563
1.42	3.51563
1.425	3.60352
1.43	3.51563
1.435	3.51563
1.44	3.60352
1.445	3.69141
1.45	3.69141
1.455	3.7793
1.46	3.7793
1.465	3.7793
1.47	3.95508
