Simulation Time - Measured	Travel (deg) - Measured
0	0
0.005	0
0.01	0
0.015	-0.0439453
0.02	-0.0439453
0.025	-0.0439453
0.03	-0.0439453
0.035	-0.0439453
0.04	-0.0439453
0.045	-0.0878906
0.05	-0.0878906
0.055	-0.0439453
0.06	-0.0439453
0.065	-0.0439453
0.07	-0.0439453
0.075	-0.0439453
0.08	-0.0439453
0.085	-0.0439453
0.09	-0.0439453
0.095	-0.0439453
0.1	-0.0439453
0.105	-0.0439453
0.11	-0.0439453
0.115	-0.0439453
0.12	-0.0439453
0.125	0
0.13	0
0.135	0
0.14	0
0.145	0
0.15	0.0439453
0.155	0.0439453
0.16	0.0439453
0.165	0.0439453
0.17	0.0439453
0.175	0.0439453
0.18	0.0439453
0.185	0.0878906
0.19	0.0878906
0.195	0.0878906
0.2	0.0878906
0.205	0.131836
0.21	0.131836
0.215	0.175781
0.22	0.175781
0.225	0.175781
0.23	0.219727
0.235	0.219727
0.24	0.219727
0.245	0.263672
0.25	0.307617
0.255	0.307617
0.26	0.351562
0.265	0.351562
0.27	0.395508
0.275	0.395508
0.28	0.439453
0.285	0.483398
0.29	0.483398
0.295	0.571289
0.3	0.615234
0.305	0.615234
0.31	0.703125
0.315	0.65918
0.32	0.74707
0.325	0.703125
0.33	0.791016
0.335	0.834961
0.34	0.834961
0.345	0.878906
0.35	0.878906
0.355	0.966797
0.36	0.922852
0.365	1.01074
0.37	1.01074
0.375	1.05469
0.38	1.09863
0.385	1.09863
0.39	1.14258
0.395	1.18652
0.4	1.23047
0.405	1.23047
0.41	1.27441
0.415	1.31836
0.42	1.31836
0.425	1.40625
0.43	1.3623
0.435	1.4502
0.44	1.4502
0.445	1.49414
0.45	1.49414
0.455	1.53809
0.46	1.53809
0.465	1.62598
0.47	1.62598
0.475	1.66992
0.48	1.71387
0.485	1.71387
0.49	1.75781
0.495	1.80176
0.5	1.8457
0.505	1.8457
0.51	1.88965
0.515	1.93359
0.52	1.93359
0.525	1.97754
0.53	1.97754
0.535	2.02148
0.54	2.02148
0.545	2.06543
0.55	2.10938
0.555	2.10938
0.56	2.15332
0.565	2.15332
0.57	2.19727
0.575	2.19727
0.58	2.24121
0.585	2.24121
0.59	2.28516
0.595	2.3291
0.6	2.37305
0.605	2.37305
0.61	2.37305
0.615	2.41699
0.62	2.46094
0.625	2.50488
0.63	2.50488
0.635	2.54883
0.64	2.59277
0.645	2.59277
0.65	2.63672
0.655	2.63672
0.66	2.63672
0.665	2.68066
0.67	2.68066
0.675	2.72461
0.68	2.72461
0.685	2.72461
0.69	2.76855
0.695	2.76855
0.7	2.76855
0.705	2.8125
0.71	2.8125
0.715	2.85645
0.72	2.85645
0.725	2.90039
0.73	2.90039
0.735	2.90039
0.74	2.94434
0.745	2.94434
0.75	2.94434
0.755	2.98828
0.76	2.98828
0.765	2.98828
0.77	3.03223
0.775	3.03223
0.78	3.03223
0.785	3.03223
0.79	3.07617
0.795	3.07617
0.8	3.07617
0.805	3.12012
0.81	3.12012
0.815	3.12012
0.82	3.12012
0.825	3.16406
0.83	3.16406
0.835	3.16406
0.84	3.20801
0.845	3.20801
0.85	3.20801
0.855	3.25195
0.86	3.25195
0.865	3.25195
0.87	3.25195
0.875	3.2959
0.88	3.2959
0.885	3.2959
0.89	3.2959
0.895	3.33984
0.9	3.33984
0.905	3.33984
0.91	3.38379
0.915	3.38379
0.92	3.38379
0.925	3.42773
0.93	3.42773
0.935	3.42773
0.94	3.47168
0.945	3.47168
0.95	3.47168
0.955	3.47168
0.96	3.51563
0.965	3.51563
0.97	3.51563
0.975	3.55957
0.98	3.55957
0.985	3.55957
0.99	3.60352
0.995	3.60352
1	3.60352
1.005	3.64746
1.01	3.64746
1.015	3.64746
1.02	3.64746
1.025	3.69141
1.03	3.69141
1.035	3.73535
1.04	3.73535
1.045	3.7793
1.05	3.7793
1.055	3.82324
1.06	3.82324
1.065	3.82324
1.07	3.86719
1.075	3.86719
1.08	3.86719
1.085	3.91113
1.09	3.91113
1.095	3.91113
1.1	3.91113
1.105	3.95508
1.11	3.95508
1.115	3.95508
1.12	3.99902
1.125	3.99902
1.13	3.99902
1.135	4.04297
1.14	4.04297
1.145	4.08691
1.15	4.08691
1.155	4.08691
1.16	4.13086
1.165	4.13086
1.17	4.13086
1.175	4.13086
1.18	4.1748
1.185	4.1748
1.19	4.21875
1.195	4.21875
1.2	4.21875
1.205	4.2627
1.21	4.2627
1.215	4.2627
1.22	4.30664
1.225	4.30664
1.23	4.30664
1.235	4.35059
1.24	4.35059
1.245	4.39453
1.25	4.39453
1.255	4.39453
1.26	4.43848
1.265	4.43848
1.27	4.43848
1.275	4.48242
1.28	4.48242
1.285	4.52637
1.29	4.52637
1.295	4.57031
1.3	4.57031
1.305	4.61426
1.31	4.61426
1.315	4.6582
1.32	4.70215
1.325	4.70215
1.33	4.79004
1.335	4.79004
1.34	4.87793
1.345	4.87793
1.35	4.96582
1.355	4.96582
1.36	5.05371
1.365	5.05371
1.37	5.09766
1.375	5.1416
1.38	5.18555
1.385	5.18555
1.39	5.22949
1.395	5.27344
1.4	5.31738
1.405	5.36133
1.41	5.36133
1.415	5.40527
1.42	5.49316
1.425	5.49316
1.43	5.53711
1.435	5.58105
1.44	5.625
1.445	5.625
1.45	5.71289
1.455	5.71289
1.46	5.75684
1.465	5.84473
1.47	5.88867
