time (s) - Front Motor	Motor Voltage (V) - Front Motor	time (s) - Back Motor	Motor Voltage (V) - Back Motor
0	519.962	0	523.977
0.005	394.226	0.005	398.242
0.01	299.927	0.01	303.945
0.015	227.303	0.015	231.799
0.02	174.73	0.02	179.103
0.025	135.691	0.025	139.199
0.03	106.034	0.03	109.656
0.035	83.7944	0.035	87.503
0.04	67.5053	0.04	70.5054
0.045	54.2847	0.045	58.7685
0.05	45.3831	0.05	48.9596
0.055	38.9541	0.055	41.3634
0.06	33.5126	0.06	36.2935
0.065	28.1567	0.065	30.4427
0.07	25.4123	0.07	28.0914
0.075	23.3575	0.075	26.332
0.08	22.207	0.08	24.6294
0.085	20.9658	0.085	23.7384
0.09	20.0384	0.09	23.0741
0.095	19.7334	0.095	22.1929
0.1	19.1264	0.1	21.9179
0.105	18.6746	0.105	21.7156
0.11	17.0609	0.11	19.5156
0.115	17.1232	0.115	19.9023
0.12	17.5605	0.12	19.8094
0.125	18.5225	0.125	19.1131
0.13	18.2424	0.13	19.6
0.135	17.1444	0.135	17.5298
0.14	17.2115	0.14	18.3958
0.145	15.987	0.145	16.9969
0.15	16.9666	0.15	17.359
0.155	17.4685	0.155	17.8708
0.16	17.8534	0.16	18.2535
0.165	16.0984	0.165	17.2609
0.17	16.4366	0.17	18.1713
0.175	17.0806	0.175	18.4711
0.18	17.5722	0.18	18.6947
0.185	16.5226	0.185	16.9574
0.19	17.1534	0.19	17.5455
0.195	17.2481	0.195	18.3724
0.2	16.4311	0.2	16.5571
0.205	17.3345	0.205	16.9887
0.21	16.1137	0.21	15.8872
0.215	16.2046	0.215	14.0329
0.22	16.927	0.22	15.297
0.225	15.4249	0.225	14.9654
0.23	16.9651	0.23	15.3589
0.235	15.84	0.235	14.6107
0.24	16.6556	0.24	15.6992
0.245	16.2358	0.245	14.2233
0.25	15.917	0.25	13.0985
0.255	14.6617	0.255	13.2492
0.26	14.7215	0.26	12.3391
0.265	14.1369	0.265	12.2639
0.27	14.7047	0.27	11.1792
0.275	14.1193	0.275	11.3549
0.28	14.2995	0.28	10.8453
0.285	12.7653	0.285	8.7795
0.29	13.9145	0.29	11.5407
0.295	11.8083	0.295	6.59416
0.3	12.5211	0.3	7.17294
0.305	12.0393	0.305	8.60117
0.31	11.639	0.31	6.35805
0.315	12.7766	0.315	9.8479
0.32	10.5161	0.32	5.59325
0.325	11.9094	0.325	9.22529
0.33	11.1189	0.33	7.12956
0.335	10.266	0.335	5.76625
0.34	10.6473	0.34	7.00167
0.345	11.5523	0.345	7.28648
0.35	9.9359	0.35	6.44166
0.355	11.2319	0.355	6.5786
0.36	10.7072	0.36	8.1551
0.365	10.1289	0.365	6.16842
0.37	8.80934	0.37	5.51217
0.375	9.70243	0.375	6.41589
0.38	9.08423	0.38	5.02773
0.385	9.25451	0.385	6.63122
0.39	8.71741	0.39	5.14456
0.395	7.90855	0.395	4.38322
0.4	8.94309	0.4	5.44938
0.405	9.47074	0.405	6.47378
0.41	6.76735	0.41	3.65609
0.415	8.03179	0.415	4.83078
0.42	5.01403	0.42	2.99263
0.425	7.29137	0.425	3.65314
0.43	7.5022	0.43	5.62188
0.435	5.42283	0.435	2.65047
0.44	6.67518	0.44	4.18963
0.445	6.18046	0.445	3.42316
0.45	6.82481	0.45	5.11062
0.455	7.53435	0.455	6.12579
0.46	6.53438	0.46	5.06434
0.465	6.23974	0.465	3.75966
0.47	5.12724	0.47	3.61934
0.475	6.94379	0.475	4.14055
0.48	4.19641	0.48	1.95523
0.485	3.5184	0.485	2.18194
0.49	3.60837	0.49	1.69985
0.495	3.65101	0.495	1.3094
0.5	5.32353	0.5	2.65304
0.505	2.22431	0.505	1.32795
0.51	4.19639	0.51	2.61629
0.515	3.99959	0.515	1.90263
0.52	1.53611	0.52	0.2984
0.525	3.60301	0.525	1.75913
0.53	4.51714	0.53	3.46552
0.535	3.76307	0.535	2.82893
0.54	4.59417	0.54	4.23131
0.545	4.55167	0.545	2.59276
0.55	2.0604	0.55	0.438002
0.555	3.23938	0.555	2.35253
0.56	5.12307	0.56	2.76337
0.565	3.85232	0.565	2.3986
0.57	4.77566	0.57	3.5247
0.575	3.54832	0.575	2.93258
0.58	3.22571	0.58	1.83577
0.585	1.94592	0.585	1.9961
0.59	1.96575	0.59	1.08168
0.595	1.95514	0.595	0.366293
0.6	1.92166	0.6	-0.199853
0.605	1.2455	0.605	-0.0286296
0.61	2.37597	0.61	1.73771
0.615	-1.16022	0.615	-2.5722
0.62	1.12913	0.62	-0.867238
0.625	-2.16126	0.625	-4.6
0.63	-0.313146	0.63	-1.83679
0.635	-3.31128	0.635	-5.39924
0.64	-0.618589	0.64	-3.13388
0.645	-2.56674	0.645	-4.15566
0.65	-0.114259	0.65	-2.25903
0.655	1.08815	0.655	-0.226649
0.66	-1.35455	0.66	-2.04654
0.665	0.726941	0.665	-0.748593
0.67	-1.67979	0.67	-2.49611
0.675	0.815539	0.675	-1.53091
