time (s) - Front Motor	Motor Voltage (V) - Front Motor	time (s) - Back Motor	Motor Voltage (V) - Back Motor
0	521.344	0	522.595
0.005	395.763	0.005	396.705
0.01	301.967	0.01	301.905
0.015	231.243	0.015	231.19
0.02	176.565	0.02	179.796
0.025	139.093	0.025	141.052
0.03	109.101	0.03	110.589
0.035	86.61	0.035	87.7453
0.04	69.359	0.04	71.0034
0.045	57.432	0.045	57.4435
0.05	47.8672	0.05	47.9006
0.055	40.9361	0.055	40.5088
0.06	35.887	0.06	34.8232
0.065	31.7223	0.065	30.9448
0.07	28.2156	0.07	28.4267
0.075	26.9837	0.075	25.1477
0.08	25.0584	0.08	23.6974
0.085	23.6184	0.085	22.6135
0.09	20.8768	0.09	20.1391
0.095	21.1007	0.095	19.3124
0.1	20.6493	0.1	19.3196
0.105	20.3145	0.105	19.3287
0.11	20.6927	0.11	18.7139
0.115	20.3569	0.115	18.8799
0.12	18.4435	0.12	17.3428
0.125	19.2886	0.125	17.2192
0.13	19.303	0.13	17.7536
0.135	19.3175	0.135	18.1581
0.14	19.9578	0.14	17.8399
0.145	19.8184	0.145	18.2282
0.15	18.6779	0.15	16.2324
0.155	18.8538	0.155	17.0135
0.16	19.3765	0.16	17.2162
0.165	18.3505	0.165	15.4629
0.17	18.6125	0.17	16.4259
0.175	17.7727	0.175	14.861
0.18	18.7998	0.18	15.3397
0.185	17.2852	0.185	14.6604
0.19	18.4293	0.19	15.18
0.195	18.6679	0.195	16.1967
0.2	17.8106	0.2	14.6721
0.205	18.199	0.205	15.8065
0.21	17.4541	0.21	14.3701
0.215	17.9267	0.215	15.5706
0.22	17.6319	0.22	13.7969
0.225	18.0602	0.225	15.1263
0.23	16.3053	0.23	11.5452
0.235	15.3826	0.235	11.7459
0.24	16.9706	0.24	12.9255
0.245	16.2635	0.245	12.3847
0.25	15.9659	0.25	11.7245
0.255	16.7739	0.255	13.5071
0.26	15.3036	0.26	10.2659
0.265	16.6466	0.265	11.9998
0.27	16.2357	0.27	11.3948
0.275	15.2932	0.275	11.5533
0.28	16.8663	0.28	12.701
0.285	16.3864	0.285	11.8977
0.29	15.3922	0.29	11.9075
0.295	15.261	0.295	11.2782
0.3	14.9152	0.3	11.0315
0.305	14.8884	0.305	10.5917
0.31	14.234	0.31	10.8741
0.315	14.3575	0.315	10.4492
0.32	14.4413	0.32	10.1171
